Nr,Shop,Kaufdatum,Bestellnummer,Sendungsnummer,Info,Kunde Adresse,Email,Telefonnummer,Artikelanzahl,Gesamt Netto,MwSt Satz,Gesamt Brutto,Bezahlt Am,Versandland,Versanddienstleister,Versandverpackung,Versandprofil,Versandt Gemeldet,Versanddatum,Versand Brutto,Versand Netto,Importdatum,Importquelle,Rechnung versendet,Sendung erstellt
1,Bad Shirts,2025-12-21,7293846151,5293846151,,"Max Müller, Hauptstr. 12, 10115 Berlin",max.mueller@example.com,+49 30 12345678,3,84.03,19,100,2025-12-21,DE,DHL,Karton M,DHL National,2025-01-01,2025-01-03,5.99,5.03,2025-11-01,Amazon API,2025-12-21,2025-12-23
2,Bad Shirts,2025-12-22,3958274612,4958274612,Geschenkverpackung,"Peter Weber, Marktplatz 8, 80331 München",peter.weber@example.com,+49 89 34567890,5,210.08,19,250,2025-12-22,DE,DHL,Karton L,DHL National,2025-02-05,2025-02-08,6.99,5.87,2025-11-05,Amazon API,2025-12-22,2025-12-23
3,Bad Shirts,2025-12-23,8472936150,3472936150,,"Sophie Fischer, Rheinstr. 22, 50667 Köln",sophie.fischer@example.com,+49 221 45678901,2,126.05,19,150,2025-12-23,DE,DHL,Karton M,DHL National,2025-03-08,2025-03-12,5.49,4.61,2025-11-08,Amazon API,2025-12-23,2025-12-23
4,Bad Shirts,2025-12-24,2938475612,2938475612,Express,"Lisa Wagner, Königsallee 33, 40212 Düsseldorf",lisa.wagner@example.com,+49 211 67890123,2,168.07,19,200,2025-12-24,DE,DHL,Karton M,DHL National,2025-04-12,2025-04-15,5.99,5.03,2025-11-12,Amazon API,2025-12-24,2025-12-27
5,Bad Shirts,2025-12-26,7482936150,1482936150,,"Michael Koch, Hauptbahnhofstr. 5, 70173 Stuttgart",michael.koch@example.com,+49 711 78901234,4,252.1,19,300,2025-12-26,DE,DHL,Karton L,DHL National,2025-05-15,2025-05-15,6.99,5.87,2025-11-15,Amazon API,2025-12-26,2025-12-27
6,Bad Shirts,2025-12-27,8472936151,9472936151,,"Sarah Klein, Musterstr. 10, 10115 Berlin",sarah.klein@example.com,+49 30 11111111,2,84.03,19,100,2025-12-27,DE,DHL,Karton M,DHL National,2025-05-15,2025-05-18,5.99,5.03,2025-08-15,Amazon API,2025-12-27,2025-12-27
7,Bad Shirts,2025-12-27,2938475613,8938475613,Express,"Thomas Müller, Hauptstr. 5, 20095 Hamburg",thomas.mueller@example.com,+49 40 22222222,3,126.05,19,150,2025-12-27,DE,DHL,Karton L,DHL National,2025-06-20,2025-06-23,6.99,5.87,2025-08-20,Amazon API,2025-12-27,2025-12-29
8,Bad Shirts,2025-12-28,7482936151,7482936151,,"Julia Schmidt, Marktplatz 12, 80331 München",julia.schmidt@example.com,+49 89 33333333,1,42.02,19,50,2025-12-28,DE,DHL,Karton S,DHL National,2025-06-25,2025-06-28,4.99,4.19,2025-08-25,Amazon API,2025-12-28,2025-12-29
9,Bad Shirts,2025-12-29,6193847252,6193847252,,"Markus Weber, Rheinstr. 8, 50667 Köln",markus.weber@example.com,+49 221 44444444,4,168.07,19,200,2025-12-29,DE,DHL,Karton M,DHL National,2025-07-01,2025-07-04,5.99,5.03,2025-09-01,Amazon API,2025-12-29,2025-12-29
10,Bad Shirts,2025-12-30,2938475614,5938475614,Geschenkverpackung,"Nicole Fischer, Schillerstr. 20, 60313 Frankfurt",nicole.fischer@example.com,+49 69 55555555,2,84.03,19,100,2025-12-30,DE,DHL,Karton M,DHL National,2025-07-05,2025-07-08,5.99,5.03,2025-09-05,Amazon API,2025-12-30,2026-01-01
11,Bad Shirts,2025-12-31,8472936152,4472936152,,"Daniel Bauer, Königsallee 15, 40212 Düsseldorf",daniel.bauer@example.com,+49 211 66666666,5,210.08,19,250,2025-12-31,DE,DHL,Karton L,DHL National,2025-08-10,2025-08-13,6.99,5.87,2025-09-10,Amazon API,2025-12-31,2026-01-01
12,Bad Shirts,2026-01-01,1847293652,3847293652,Eilauftrag,"Stephanie Wagner, Hauptbahnhofstr. 8, 70173 Stuttgart",stephanie.wagner@example.com,+49 711 77777777,3,126.05,19,150,2026-01-01,DE,DHL,Karton M,DHL National,2025-09-15,2025-09-18,5.49,4.61,2025-09-15,Amazon API,2026-01-01,2026-01-01
13,Bad Shirts,2026-01-02,3958274613,2958274613,,"Andreas Koch, Berliner Str. 30, 20095 Hamburg",andreas.koch@example.com,+49 40 88888888,1,42.02,19,50,2026-01-02,DE,DHL,Karton S,DHL National,2025-09-20,2025-09-23,4.99,4.19,2025-09-20,Amazon API,2026-01-02,2026-01-04
14,Bad Shirts,2026-01-03,7293846151,1293846151,,"Christina Meyer, Marktplatz 3, 80331 München",christina.meyer@example.com,+49 89 99999999,4,168.07,19,200,2026-01-03,DE,DHL,Karton M,DHL National,2025-09-25,2025-09-28,5.99,5.03,2025-09-25,Amazon API,2026-01-03,2026-01-04
15,Bad Shirts,2026-01-04,2938475615,9938475615,,"Martin Schulz, Hauptstr. 25, 10115 Berlin",martin.schulz@example.com,+49 30 10101010,2,84.03,19,100,2026-01-04,DE,DHL,Karton M,DHL National,2025-10-01,2025-10-03,5.99,5.03,2025-10-01,Amazon API,2026-01-04,2026-01-04
16,Bad Shirts,2026-01-05,7482936152,8482936152,Express,"Laura Hoffmann, Rheinstr. 18, 50667 Köln",laura.hoffmann@example.com,+49 221 20202020,3,126.05,19,150,2026-01-05,DE,DHL,Karton M,DHL National,2025-10-05,2025-10-08,5.49,4.61,2025-10-05,Amazon API,2026-01-05,2026-01-08
17,Bad Shirts,2026-01-06,6193847253,7193847253,Geschenkverpackung,"Sebastian Beztroski, Schillerstr. 25, 60313 Frankfurt",sebastian.richter@example.com,+49 69 30303030,5,168.07,19,200,2026-01-06,DE,DHL,Karton L,DHL National,2025-10-10,2025-10-12,6.99,5.87,2025-10-10,Amazon API,2026-01-06,2026-01-08
18,Bad Shirts,2026-01-08,8472936153,6472936153,,"Melanie Zimmermann, Königsallee 22, 40212 Düsseldorf",melanie.zimmermann@example.com,+49 211 40404040,1,42.02,19,50,2026-01-08,DE,DHL,Karton S,DHL National,2025-10-15,2025-10-18,4.99,4.19,2025-10-15,Amazon API,2026-01-08,2026-01-08
19,Bad Shirts,2026-01-09,1928374651,5928374651,,"Alexander Double, Hauptstr. 45, 10115 Berlin",alexander.becker@example.com,+49 30 11112222,3,126.05,19,150,2026-01-09,DE,–,–,–,,,,,2025-12-05,Amazon API,,
20,Bad Shirts,2026-01-10,2938475620,4938475620,,"Sabrina Mailpas, Mönckebergstr. 25, 20095 Hamburg",,+49 40 22223333,2,,,,,DE,–,–,–,,,,,2025-12-06,Amazon API,,
21,Bad Shirts,2026-01-12,4756293842,2756293842,,"Alexander Double, Hauptstr. 45, 10115 Berlin",alexander.becker@example.com,+49 30 11112222,1,42.02,19,50,2026-01-12,DE,–,–,–,,,,,2025-12-08,Amazon API,,
