Nr,Kaufdatum,Bestellnummer,Sendungsnummer,Info,Kunde Adresse,Email,Telefonnummer,Artikelanzahl,Gesamt Netto,MwSt Satz,Gesamt Brutto,Bezahlt Am,Versandland,Versandprofil,Versanddienstleister,Versandverpackung,Versandt Gemeldet,Versanddatum,Trackingnummer,Versand Brutto,Versand Netto,Importdatum,Importquelle,Pickliste erstellt,Packliste erstellt,Versandprofil hinzugefügt
1,2025-12-21,7293846151,5293846151,,"Max Müller, Hauptstr. 12, 10115 Berlin",max.mueller@example.com,+49 30 12345678,3,84.03,19,100,2025-12-21,DE,DHL National,DHL,Karton M,2025-12-23,2025-12-23,2.61838E+11,5.99,5.03,2025-12-21,Amazon API,2025-12-23,2025-12-23,2025-12-23
2,2025-12-22,3958274612,4958274612,Geschenkverpackung,"Peter Weber, Marktplatz 8, 80331 München",peter.weber@example.com,+49 89 34567890,5,210.08,19,250,2025-12-22,DE,DHL National,DHL,Karton L,2025-12-23,2025-12-23,2.61838E+11,6.99,5.87,2025-12-22,Amazon API,2025-12-23,2025-12-23,2025-12-23
3,2025-12-23,8472936150,3472936150,,"Sophie Fischer, Rheinstr. 22, 50667 Köln",sophie.fischer@example.com,+49 221 45678901,2,126.05,19,150,2025-12-23,DE,DHL National,DHL,Karton M,2025-12-23,2025-12-23,2.61838E+11,5.49,4.61,2025-12-23,Amazon API,2025-12-23,2025-12-23,2025-12-23
4,2025-12-24,2938475612,2938475612,Express,"Lisa Wagner, Königsallee 33, 40212 Düsseldorf",lisa.wagner@example.com,+49 211 67890123,2,168.07,19,200,2025-12-24,DE,DHL National,DHL,Karton M,2025-12-27,2025-12-27,2.61838E+11,5.99,5.03,2025-12-24,Amazon API,2025-12-27,2025-12-27,2025-12-27
5,2025-12-26,7482936150,1482936150,,"Michael Koch, Hauptbahnhofstr. 5, 70173 Stuttgart",michael.koch@example.com,+49 711 78901234,4,252.1,19,300,2025-12-26,DE,DHL National,DHL,Karton L,2025-12-27,2025-12-27,2.61838E+11,6.99,5.87,2025-12-26,Amazon API,2025-12-27,2025-12-27,2025-12-27
6,2025-12-27,8472936151,9472936151,,"Sarah Klein, Musterstr. 10, 10115 Berlin",sarah.klein@example.com,+49 30 11111111,2,84.03,19,100,2025-12-27,DE,DHL National,DHL,Karton M,2025-12-27,2025-12-27,2.61838E+11,5.99,5.03,2025-12-27,Amazon API,2025-12-27,2025-12-27,2025-12-27
7,2025-12-27,2938475613,8938475613,Express,"Thomas Müller, Hauptstr. 5, 20095 Hamburg",thomas.mueller@example.com,+49 40 22222222,3,126.05,19,150,2025-12-27,DE,DHL National,DHL,Karton L,2025-12-29,2025-12-29,2.61838E+11,6.99,5.87,2025-12-27,Amazon API,2025-12-29,2025-12-29,2025-12-29
8,2025-12-28,7482936151,7482936151,,"Julia Schmidt, Marktplatz 12, 80331 München",julia.schmidt@example.com,+49 89 33333333,1,42.02,19,50,2025-12-28,DE,DHL National,DHL,Karton S,2025-12-29,2025-12-29,2.61838E+11,4.99,4.19,2025-12-28,Amazon API,2025-12-29,2025-12-29,2025-12-29
9,2025-12-29,6193847252,6193847252,,"Markus Weber, Rheinstr. 8, 50667 Köln",markus.weber@example.com,+49 221 44444444,4,168.07,19,200,2025-12-29,DE,DHL National,DHL,Karton M,2025-12-29,2025-12-29,2.61838E+11,5.99,5.03,2025-12-29,Amazon API,2025-12-29,2025-12-29,2025-12-29
10,2025-12-30,2938475614,5938475614,Geschenkverpackung,"Nicole Fischer, Schillerstr. 20, 60313 Frankfurt",nicole.fischer@example.com,+49 69 55555555,2,84.03,19,100,2025-12-30,DE,DHL National,DHL,Karton M,2026-01-01,2026-01-01,2.61838E+11,5.99,5.03,2025-12-30,Amazon API,2026-01-01,2026-01-01,2026-01-01
11,2025-12-31,8472936152,4472936152,,"Daniel Bauer, Königsallee 15, 40212 Düsseldorf",daniel.bauer@example.com,+49 211 66666666,5,210.08,19,250,2025-12-31,DE,DHL National,DHL,Karton L,2026-01-01,2026-01-01,2.61838E+11,6.99,5.87,2025-12-31,Amazon API,2026-01-01,2026-01-01,2026-01-01
12,2026-01-01,1847293652,3847293652,Eilauftrag,"Stephanie Wagner, Hauptbahnhofstr. 8, 70173 Stuttgart",stephanie.wagner@example.com,+49 711 77777777,3,126.05,19,150,2026-01-01,DE,DHL National,DHL,Karton M,2026-01-01,2026-01-01,2.61838E+11,5.49,4.61,2026-01-01,Amazon API,2026-01-01,2026-01-01,2026-01-01
13,2026-01-02,3958274613,2958274613,,"Andreas Koch, Berliner Str. 30, 20095 Hamburg",andreas.koch@example.com,+49 40 88888888,1,42.02,19,50,2026-01-02,DE,DHL National,DHL,Karton S,2026-01-04,2026-01-04,2.61838E+11,4.99,4.19,2026-01-02,Amazon API,2026-01-04,2026-01-04,2026-01-04
14,2026-01-03,7293846151,1293846151,,"Christina Meyer, Marktplatz 3, 80331 München",christina.meyer@example.com,+49 89 99999999,4,168.07,19,200,2026-01-03,DE,DHL National,DHL,Karton M,2026-01-04,2026-01-04,2.61838E+11,5.99,5.03,2026-01-03,Amazon API,2026-01-04,2026-01-04,2026-01-04
15,2026-01-04,2938475615,9938475615,,"Martin Schulz, Hauptstr. 25, 10115 Berlin",martin.schulz@example.com,+49 30 10101010,2,84.03,19,100,2026-01-04,DE,DHL National,DHL,Karton M,2026-01-04,2026-01-04,2.61838E+11,5.99,5.03,2026-01-04,Amazon API,2026-01-04,2026-01-04,2026-01-04
16,2026-01-05,7482936152,8482936152,Express,"Laura Hoffmann, Rheinstr. 18, 50667 Köln",laura.hoffmann@example.com,+49 221 20202020,3,126.05,19,150,2026-01-05,DE,DHL National,DHL,Karton M,2026-01-08,2026-01-08,2.61838E+11,5.49,4.61,2026-01-05,Amazon API,2026-01-08,2026-01-08,2026-01-08
17,2026-01-06,6193847253,7193847253,Geschenkverpackung,"Sebastian Beztroski, Schillerstr. 25, 60313 Frankfurt",sebastian.richter@example.com,+49 69 30303030,5,168.07,19,200,2026-01-06,DE,DHL National,DHL,Karton L,2026-01-08,2026-01-08,2.61838E+11,6.99,5.87,2026-01-06,Amazon API,2026-01-08,2026-01-08,2026-01-08
18,2026-01-08,8472936153,6472936153,,"Melanie Zimmermann, Königsallee 22, 40212 Düsseldorf",melanie.zimmermann@example.com,+49 211 40404040,1,42.02,19,50,2026-01-08,DE,DHL National,DHL,Karton S,2026-01-08,2026-01-08,2.61838E+11,4.99,4.19,2026-01-08,Amazon API,2026-01-08,2026-01-08,2026-01-08
19,2026-01-09,"1928374651, 4756293842",5928374651,,"Alexander Double, Hauptstr. 45, 10115 Berlin",alexander.becker@example.com,+49 30 11112222,3,126.05,19,150,2026-01-09,DE,–,–,–,,,,,,2026-01-09,Amazon API,,,
20,2026-01-10,2938475620,4938475620,,"Sabrina Mailpas, Mönckebergstr. 25, 20095 Hamburg",,+49 40 22223333,2,,,,,DE,–,–,–,,,,,,2026-01-10,Amazon API,,,
